TIME 	 POS 	 VEL 	 ENR 
0	0	1	0.5
0.31415	0.31415	0.950655	0.501217
0.6283	0.597296	0.807489	0.504401
0.94245	0.821496	0.584633	0.508325
1.2566	0.964621	0.304078	0.511479
1.57075	1.01255	-0.00648548	0.512648
1.8849	0.960546	-0.316409	0.511382
2.19905	0.813748	-0.595107	0.508169
2.5132	0.586641	-0.815073	0.504245
2.82735	0.301638	-0.954599	0.501122
3.1415	-0.0131337	-0.999916	0.500002
3.45565	-0.326609	-0.946551	0.501316
3.7698	-0.607852	-0.79977	0.504558
4.08395	-0.829105	-0.57406	0.50848
4.3981	-0.968534	-0.291696	0.511572
4.71225	-1.01238	0.0194554	0.512644
5.0264	-0.95631	0.328687	0.511282
5.34055	-0.805864	0.60548	0.508011
5.6547	-0.575887	0.822519	0.504091
5.96885	-0.289075	0.958383	0.501031
6.283	0.0262652	0.999664	0.500009
6.59715	0.339013	0.942287	0.501418
6.9113	0.618304	0.791917	0.504716
7.22545	0.836575	0.563392	0.508634
7.5396	0.972283	0.279265	0.511662
7.85375	1.01204	-0.032422	0.512635
8.1679	0.951913	-0.340909	0.511178
8.48205	0.797844	-0.615752	0.507853
8.7962	0.565035	-0.829827	0.503939
9.11035	0.276464	-0.962005	0.500943
9.4245	-0.0393923	-0.999243	0.500019
9.73865	-0.351361	-0.937865	0.501523
10.0528	-0.628653	-0.78393	0.504875
10.3669	-0.843904	-0.552628	0.508786
10.6811	-0.975869	-0.266787	0.511748
10.9952	-1.01153	0.0453831	0.512622
11.3094	-0.947355	0.353074	0.511072
11.6235	-0.789689	0.625921	0.507693
11.9377	-0.554089	0.836995	0.503787
12.2518	-0.263806	0.965465	0.500859
12.566	0.0525128	0.998654	0.500034
12.8801	0.363649	0.933286	0.501631
13.1943	0.638896	0.775811	0.505036
13.5084	0.851091	0.541771	0.508936
13.8226	0.979291	0.254264	0.511831
14.1367	1.01084	-0.0583366	0.512605
14.4509	0.942638	-0.36518	0.510962
14.765	0.781402	-0.635984	0.507532
15.0792	0.54305	-0.844022	0.503638
15.3933	0.251103	-0.968764	0.500778
15.7075	-0.0656244	-0.997898	0.500053
16.0216	-0.375876	-0.928549	0.501743
16.3358	-0.649032	-0.767562	0.505197
16.6499	-0.858135	-0.530823	0.509084
16.9641	-0.982548	-0.241698	0.511909
17.2782	-1.00999	0.0712803	0.512584
17.5924	-0.937763	0.377224	0.510849
17.9065	-0.772984	0.64594	0.507371
18.2207	-0.531919	0.850907	0.50349
18.5349	-0.238359	0.971899	0.500701
18.849	0.078725	0.996973	0.500076
19.1632	0.388039	0.923656	0.501858
19.4773	0.659058	0.759183	0.505358
19.7915	0.865034	0.519786	0.509231
20.1056	0.98564	0.229092	0.511985
20.4198	1.00897	-0.084212	0.512559
20.7339	0.93273	-0.389205	0.510732
21.0481	0.764435	-0.655787	0.507209
21.3622	0.520699	-0.857649	0.503345
21.6764	0.225574	-0.97487	0.500628
21.9905	-0.0918124	-0.995881	0.500104
22.3047	-0.400138	-0.918608	0.501975
22.6188	-0.668974	-0.750677	0.505521
22.933	-0.871788	-0.508662	0.509376
23.2471	-0.988566	-0.216447	0.512056
23.5613	-1.00778	0.0971295	0.512529
23.8754	-0.927539	0.40112	0.510613
24.1896	-0.755758	0.665524	0.507046
24.5037	-0.509391	0.864247	0.503201
24.8179	-0.212751	0.977678	0.500558
25.132	0.104884	0.994621	0.500136
25.4462	0.412169	0.913405	0.502096
25.7603	0.678776	0.742045	0.505684
26.0745	0.878395	0.497452	0.509518
26.3886	0.991325	0.203765	0.512123
26.7028	1.00642	-0.110031	0.512495
27.0169	0.922193	-0.412968	0.510491
27.3311	0.746954	-0.675149	0.506883
27.6452	0.497997	-0.8707	0.503059
27.9594	0.199893	-0.980321	0.500493
28.2735	-0.117939	-0.993194	0.500172
28.5877	-0.424131	-0.908048	0.502219
28.9018	-0.688465	-0.733287	0.505847
29.216	-0.884855	-0.486158	0.509659
29.5301	-0.993918	-0.19105	0.512187
29.8443	-1.00489	0.122913	0.512457
30.1584	-0.916692	0.424746	0.510366
30.4726	-0.738023	0.68466	0.506719
30.7867	-0.48652	0.877006	0.50292
31.1009	-0.187001	0.982799	0.500431
