TIME 	 POS 	 VEL 
0	0	1
0.314159	0.309017	0.951057
0.628318	0.587785	0.809017
0.942477	0.809017	0.587786
1.25664	0.951056	0.309018
1.5708	1	1.20482e-06
1.88495	0.951057	-0.309016
2.19911	0.809018	-0.587784
2.51327	0.587787	-0.809016
2.82743	0.309019	-0.951056
3.14159	2.40964e-06	-1
3.45575	-0.309014	-0.951057
3.76991	-0.587783	-0.809019
4.08407	-0.809015	-0.587788
4.39823	-0.951056	-0.30902
4.71239	-1	-3.61445e-06
5.02654	-0.951058	0.309013
5.3407	-0.809019	0.587782
5.65486	-0.587789	0.809015
5.96902	-0.309021	0.951055
6.28318	-4.81927e-06	1
6.59734	0.309012	0.951058
6.9115	0.587781	0.80902
7.22566	0.809014	0.58779
7.53982	0.951055	0.309023
7.85398	1	6.02409e-06
8.16813	0.951059	-0.309011
8.48229	0.809021	-0.58778
8.79645	0.587791	-0.809013
9.11061	0.309024	-0.951055
9.42477	7.22891e-06	-1
9.73893	-0.30901	-0.951059
10.0531	-0.587779	-0.809022
10.3672	-0.809012	-0.587792
10.6814	-0.951054	-0.309025
10.9956	-1	-8.43372e-06
11.3097	-0.951059	0.309009
11.6239	-0.809022	0.587778
11.938	-0.587793	0.809012
12.2522	-0.309026	0.951054
12.5664	-9.63854e-06	1
12.8805	0.309008	0.95106
13.1947	0.587777	0.809023
13.5088	0.809011	0.587794
13.823	0.951053	0.309027
14.1372	1	1.08434e-05
14.4513	0.95106	-0.309007
14.7655	0.809024	-0.587776
15.0796	0.587795	-0.80901
15.3938	0.309028	-0.951053
15.708	1.20482e-05	-1
16.0221	-0.309005	-0.951061
16.3363	-0.587775	-0.809025
16.6504	-0.80901	-0.587796
16.9646	-0.951053	-0.309029
17.2787	-1	-1.3253e-05
17.5929	-0.951061	0.309004
17.9071	-0.809025	0.587774
18.2212	-0.587797	0.809009
18.5354	-0.309031	0.951052
18.8495	-1.44578e-05	1
19.1637	0.309003	0.951061
19.4779	0.587773	0.809026
19.792	0.809008	0.587798
20.1062	0.951052	0.309032
20.4203	1	1.56626e-05
20.7345	0.951062	-0.309002
21.0487	0.809027	-0.587772
21.3628	0.587799	-0.809008
21.677	0.309033	-0.951052
21.9911	1.68675e-05	-1
22.3053	-0.309001	-0.951062
22.6194	-0.587771	-0.809028
22.9336	-0.809007	-0.5878
23.2478	-0.951051	-0.309034
23.5619	-1	-1.80723e-05
23.8761	-0.951063	0.309
24.1902	-0.809028	0.58777
24.5044	-0.587801	0.809006
24.8186	-0.309035	0.951051
25.1327	-1.92771e-05	1
25.4469	0.308999	0.951063
25.761	0.58777	0.809029
26.0752	0.809006	0.587802
26.3894	0.951051	0.309036
26.7035	1	2.04819e-05
27.0177	0.951063	-0.308997
27.3318	0.80903	-0.587769
27.646	0.587803	-0.809005
27.9602	0.309038	-0.95105
28.2743	2.16867e-05	-1
28.5885	-0.308996	-0.951064
28.9026	-0.587768	-0.80903
29.2168	-0.809004	-0.587804
29.5309	-0.95105	-0.309039
29.8451	-1	-2.28915e-05
30.1593	-0.951064	0.308995
30.4734	-0.809031	0.587767
30.7876	-0.587805	0.809004
31.1017	-0.30904	0.95105
