TIME 	 POS 	 VEL 	 ENR 
0	0	10	50
0.31415	3.1415	9.50655	40.2527
0.6283	5.97296	8.07489	14.7638
0.94245	8.21496	5.84633	-16.653
1.2566	9.64621	3.04078	-41.9015
1.57075	10.1255	-0.0648548	-51.2606
1.8849	9.60546	-3.16409	-41.1267
2.19905	8.13748	-5.95107	-15.4017
2.5132	5.86641	-8.15073	16.0098
2.82735	3.01638	-9.54599	41.0137
3.1415	-0.131337	-9.99916	49.983
3.45565	-3.26609	-9.46551	39.4642
3.7698	-6.07852	-7.9977	13.5075
4.08395	-8.29105	-5.7406	-17.8935
4.3981	-9.68534	-2.91696	-42.6485
4.71225	-10.1238	0.194554	-51.2265
5.0264	-9.5631	3.28687	-40.3247
5.34055	-8.05864	6.0548	-14.1405
5.6547	-5.75887	8.22519	17.2446
5.96885	-2.89075	9.58383	41.7466
6.283	0.262652	9.99664	49.9319
6.59715	3.39013	9.42287	38.6488
6.9113	6.18304	7.91917	12.2416
7.22545	8.36575	5.63392	-19.1224
7.5396	9.72283	2.79265	-43.3673
7.85375	10.1204	-0.32422	-51.1584
8.1679	9.51913	-3.40909	-39.4959
8.48205	7.97844	-6.15752	-12.8702
8.7962	5.65035	-8.29827	18.4674
9.11035	2.76464	-9.62005	42.4511
9.4245	-0.393923	-9.99243	49.8467
9.73865	-3.51361	-9.37865	37.8069
10.0528	-6.28653	-7.8393	10.9671
10.3669	-8.43904	-5.52628	-20.3388
10.6811	-9.75869	-2.66787	-44.0573
10.9952	-10.1153	0.453831	-51.0563
11.3094	-9.47355	3.53074	-38.641
11.6235	-7.89689	6.25921	-11.5916
11.9377	-5.54089	8.36995	19.6773
12.2518	-2.63806	9.65465	43.1265
12.566	0.525128	9.98654	49.7276
12.8801	3.63649	9.33286	36.9391
13.1943	6.38896	7.75811	9.68471
13.5084	8.51091	5.41771	-21.542
13.8226	9.79291	2.54264	-44.718
14.1367	10.1084	-0.583366	-50.9202
14.4509	9.42638	-3.6518	-37.7605
14.765	7.81402	-6.35984	-10.3057
15.0792	5.4305	-8.44022	20.8735
15.3933	2.51103	-9.68764	43.7725
15.7075	-0.656244	-9.97898	49.5747
16.0216	-3.75876	-9.28549	36.046
16.3358	-6.49032	-7.67562	8.39543
16.6499	-8.58135	-5.30823	-22.7311
16.9641	-9.82548	-2.41698	-45.3491
17.2782	-10.0999	0.712803	-50.7503
17.5924	-9.37763	3.77224	-36.855
17.9065	-7.72984	6.4594	-9.01329
18.2207	-5.31919	8.50907	22.0553
18.5349	-2.38359	9.71899	44.3886
18.849	0.78725	9.96973	49.3879
19.1632	3.88039	9.23656	35.1283
19.4773	6.59058	7.59183	7.10008
19.7915	8.65034	5.19786	-23.9053
20.1056	9.8564	2.29092	-45.9501
20.4198	10.0897	-0.84212	-50.5467
20.7339	9.3273	-3.89205	-35.9252
21.0481	7.64435	-6.55787	-7.71523
21.3622	5.20699	-8.57649	23.2218
21.6764	2.25574	-9.7487	44.9744
21.9905	-0.918124	-9.95881	49.1674
22.3047	-4.00138	-9.18608	34.1865
22.6188	-6.68974	-7.50677	5.79952
22.933	-8.71788	-5.08662	-25.0639
23.2471	-9.88566	-2.16447	-46.5207
23.5613	-10.0778	0.971295	-50.3095
23.8754	-9.27539	4.0112	-34.9716
24.1896	-7.55758	6.65524	-6.41239
24.5037	-5.09391	8.64247	24.3722
24.8179	-2.12751	9.77678	45.5295
25.132	1.04884	9.94621	48.9135
25.4462	4.12169	9.13405	33.2213
25.7603	6.78776	7.42045	4.49463
26.0745	8.78395	4.97452	-26.206
26.3886	9.91325	2.03765	-47.0603
26.7028	10.0642	-1.10031	-50.0388
27.0169	9.22193	-4.12968	-33.9949
27.3311	7.46954	-6.75149	-5.10567
27.6452	4.97997	-8.707	25.5058
27.9594	1.99893	-9.80321	46.0536
28.2735	-1.17939	-9.93194	48.6262
28.5877	-4.24131	-9.08048	32.2332
28.9018	-6.88465	-7.33287	3.18629
29.216	-8.84855	-4.86158	-27.3309
29.5301	-9.93918	-1.9105	-47.5687
29.8443	-10.0489	1.22913	-49.735
30.1584	-9.16692	4.24746	-32.9957
30.4726	-7.38023	6.8466	-3.79594
30.7867	-4.8652	8.77006	26.6219
31.1009	-1.87001	9.82799	46.5462
